video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=IsKqG3lg93Y&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@AI-MachineLearningExplained,AI and Machine Learning Explained,How Does AI Algorithmic Bias Lead To Discrimination? - AI and Machine Learning Explained,6,2 months,How Does AI Algorithmic Bias Lead To Discrimination? Have you ever wondered how AI systems can unintentionally reinforce ...,2026-01-22 03:30:51.804753
/shorts/EdzYQb_WpqM,/@thisisworkwell,WorkWell,AI Discrimination,28,9 months,What happens when biased algorithms decide who gets hired or promoted? That's AI Discrimination and it's happening now.,2026-01-22 03:30:59.142132
/watch?v=BGu85DnFNCc&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@AINewsSocial,AI News Social,Algorithmic Discrimination: Who Profits From Your Data? | AI News Social,3,2 weeks,"When algorithms deny healthcare, housing, and jobs in milliseconds, who bears the cost? This week we expose the hidden ...",2026-01-22 03:30:59.143642
/shorts/4Grvh_BbJL8,/@ClearMeasure,Clear Measure,"AI Algorithmic Bias, Discrimination, and Privacy Issues",169,2 years,AI Ethics with Matthew Renze Watch the entire Azure DevOps Podcast ep.249 here: https://youtu.be/bRCmnC4igJY Mentioned in ...,2026-01-22 03:30:59.145001
/watch?v=Rn07Qh52JRs&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@AIandTechnologyLaw,AI and Technology Law,Why Was The COMPAS Algorithm Found To Have Racial Bias Issues? - AI and Technology Law,19,3 months,Why Was The COMPAS Algorithm Found To Have Racial Bias Issues? Have you ever wondered how artificial intelligence ...,2026-01-22 03:30:59.146290
/shorts/sfun4dtEA6E,/@PurpleAcorn,Purple Acorn Network,AI Bias in Hiring: Shocking Discrimination Concerns!,191,7 months,"AI hiring tools may discriminate against candidates! We discuss algorithmic bias and its impact, especially for stay-at-home ...",2026-01-22 03:30:59.150115
/watch?v=eUwyI5-FUrU&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb27SBwkJhwoBhyohjO8%3D,/@AI-MachineLearningExplained,AI and Machine Learning Explained,How Does Algorithmic Bias Cause Discrimination In AI Systems? - AI and Machine Learning Explained,25,4 months,How Does Algorithmic Bias Cause Discrimination In AI Systems? Have you ever wondered how biases can influence the ...,2026-01-22 03:30:59.151531
/shorts/ZJ4zOVSzGkY,/@Bsocialtoday,Bsocialtoday,How AI Bias Affects Society,45,10 months,"AI bias can reinforce societal inequalities by amplifying stereotypes and discrimination in hiring, policing, and lending. It arises ...",2026-01-22 03:30:59.152972
/watch?v=i54lDG1Yn34&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@AI-MachineLearningExplained,AI and Machine Learning Explained,What Is Algorithmic Discrimination In AI? - AI and Machine Learning Explained,14,4 months,What Is Algorithmic Discrimination In AI? Have you ever wondered how AI systems make decisions and what challenges they face ...,2026-01-22 03:30:59.154198
/shorts/eFJCrJlKcvA,/@AIDaddyofficial,AI DADDY ACADEMY,Unmasking AI Bias: When Automations Perpetuate Inequality #ai #bias #technology,89,3 months,This eye-opening video explores the hidden danger of AI bias in our digital world.,2026-01-22 03:30:59.157708
/watch?v=tJQSyzBUAew&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@codeorg,Code.org,Ethics & AI: Equal Access and Algorithmic Bias,129K,5 years,"The potential for AI to help society is enormous. But at the same time we need to develop technology with a focus on ethics, ...",2026-01-22 03:30:59.159027
/shorts/83uv3Jnt28k,/@ChroniclesOfTheCurious,Chronicles of the Curious,Unconscious Bias: The Dark Side of AI #shorts #ai #machinelearning,314,2 years,"This 50-second video highlights the issue of bias and discrimination in AI algorithms. It showcases how AI systems, which are ...",2026-01-22 03:30:59.160458
